Designator,Mid X,Mid Y,Rotation,Layer
C1,154.0,-95.355,270.0,bottom
C2,157.0,-95.355,270.0,bottom
D1,153.89,-111.78,270.0,bottom
D2,153.89,-106.28,270.0,bottom
D3,153.89,-100.78,270.0,bottom
D4,185.5,-112.0175,270.0,bottom
DWM1,169.74,-103.88,180.0,bottom
R1,155.5375,-83.76,180.0,top
R10,184.0375,-97.5,0.0,bottom
R2,155.5,-87.07,180.0,top
R3,155.5375,-90.38,180.0,top
R4,157.0,-100.8,270.0,bottom
R5,157.0,-106.26,270.0,bottom
R6,157.0,-111.8,270.0,bottom
R7,182.5,-112.0375,270.0,bottom
R8,184.0375,-93.0,0.0,bottom
S1,186.3625,-103.375,90.0,top
U2,169.827,-88.069,0.0,top
