Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C9",0603,5,100nF,
"C10, C18, C21, C22, C23, C24, C25, C5, C7",0603,9,0.1uF,
"C12, C16, C17",0603,3,4.7uF,
"C13, C14, C15, C19",0603,4,10uF,
C20,0603,1,1uF,
"C6, C8",0603,2,0.01uF,
"D1, D2, D3, D4",D_SOD-123,4,1N4148,
D10,SOT-23,1,BAT54C,
D5,D_SOD-123,1,1N5819HW-7-F,
D9,0603,1,LED,
"J1, J2, J3, J4",SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,4,Conn_01x02_Socket,
"J10, J6",JST_PH_S10B-PH-K_1x10_P2.00mm_Horizontal,2,Conn_01x10_Socket,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J8,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
"LED1, LED2, LED3",LED_6028R,3,SK6812MINI-E,
"Q1, Q2, Q3, Q4",SOT-23,4,Si2319CDS,
"R1, R10, R11, R12, R13, R2, R20, R21, R22, R3, R4, R7, R8, R9",0603,14,10k,
"R14, R15",0603,2,5.1k,
R16,0603,1,0.4R,
R17,0603,1,1k,
R19,0603,1,5k,
"R5, R6",0603,2,1M,
"SW1, SW2",SW_TS-1088-AR02016,2,SW_Push,
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U3,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U4,XDCR_HMC5883L-TR,1,HMC5883L-TR,
U5,XCVR_ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U,
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U7,SOT-223-3_TabPin2,1,AP7361C-33E,
